id,category,rating,label,text_,class_fcnn_bge,random_forest,xgboost,correct_count,ensemble_vote,char_length,word_length,word_cnt_bin,difficulty
15567,Movies_and_TV_5,5.0,CG,"The Green Prince  Musicbox (Cisco)

Two-Disc Collection

Disc 1

Disc 2

Disc 3

Disc 4

Disc 5

Disc 6

Disc 7

Disc 8

Disc 9

Disc 10

Disc 11

Disc 12

Disc 13

Disc 14

Disc 15

Disc 16

Disc 17

Disc 18

Disc 19

Disc 20

Disc 21

Disc 22

Disc 23

Disc 24

Disc 25

Disc 26

Disc 27

Disc 28

Disc 29

Disc 30

Disc 31

Disc 32

Disc 33

Disc 34

Disc 35

Disc 36

Disc 37

Disc 38

Disc 39

Disc 40

Disc 41

Disc 42

Disc 43

Disc 44

Disc 45

Disc 46

Disc 47

Disc 48

Disc 49

Disc 50

Disc 51

Disc 52

Disc 53

Disc 54

Disc 55

Disc 56

Disc 57

Disc 58

Disc 59

Disc 60

Disc 61

Disc 62

Disc 63

Disc 64

Disc 65

Disc 66

Disc 67

Disc 68

Disc 69

Disc 70

Disc 71

Disc 72

Disc 73

Disc 74

Disc 75

Disc 76

Disc 77

Disc 78

Disc 79

Disc 80

Disc 81

Disc 82",0,0,0,0,0,784,171,107–373 Wörter,3
23335,Pet_Supplies_5,4.0,CG,"Maybe if you have a dog with a wide mouth you might need to make a small change. I think it's a good idea to have some guidelines when it comes to how much food you should give your dog. Some people think it's ok to give some food to your dog and others say it's ok to give them a treat. If you have a dog with a long mouth or a sensitive stomach, I think that's fine. If you have a dog that's sensitive to eating something that is hard to digest, I'd suggest changing that up a bit. I've found that having a dog with a sensitive stomach is not as important to your dog as having a hard body and to a dog that is sensitive to eating something that is hard to digest. My dog also likes some of the soft treats she gets but she doesn't like the soft ones.",0,0,0,0,0,753,156,107–373 Wörter,3
11636,Electronics_5,5.0,CG,"This CD Manual Disc Repair (CDR) Manual Manual Manual

The CD Manual Manual Manual Manual is an excellent DVD repair manual, designed to help you understand the process of how to properly repair a CD. It contains a detailed, thorough description of the process of setting up CD-ROM drives, including how to format the CD, which CD-ROM discs to format, how to use CD-ROM drives to format, how to format CD-ROM discs to format, how to format CD-ROM discs to format, how to format CD-ROM discs to format, how to format CD-ROM discs to format, how to format CD-ROM discs to format, how to format CD-ROM discs to format, how to format CD-ROM discs to format, how to format CD-ROM discs to format, how to format CD-ROM discs to format, how to format CD-ROM discs to format, how to format CD-ROM discs to format, how to format CD-ROM",0,0,0,0,0,826,148,107–373 Wörter,3
3727,Home_and_Kitchen_5,4.0,CG,"The AVEX Brew Pint Glass, Stainless Steel, Comes With a Manual Instructions Manual for Brew Pint Glass. The AVEX Brew Pint Glass, Stainless Steel, Comes With a Manual Instructions Manual for Brew Pint Glass. The AVEX Brew Pint Glass, Stainless Steel, Comes With a Manual Instructions Manual for Brew Pint Glass. The AVEX Brew Pint Glass, Stainless Steel, Comes With a Manual Instructions Manual for Brew Pint Glass. The AVEX Brew Pint Glass, Stainless Steel, Comes With a Manual Instructions Manual for Brew Pint Glass. The AVEX Brew Pint Glass, Stainless Steel, Comes With a Manual Instructions Manual for Brew Pint Glass. The AVEX Brew Pint Glass, Stainless Steel, Comes With a Manual Instructions Manual for Brew Pint Glass.",0,0,0,0,0,727,119,107–373 Wörter,3
18893,Tools_and_Home_Improvement_5,3.0,CG,"got tired of the fluorescent lights.  But, these are a nice light for the money.  I'll be buying more.

Update:  I bought two of these bulbs for my family room in the hallway.  They were about the same price as the bulbs in the bathroom and a bit smaller than the bulbs in the upstairs room.  They are a little brighter than the fluorescent lights but still bright enough to see if you're in the hallway.

Update 2:  I bought another one for the master bedroom.  I'm not sure how long it will last but it's nice to have more light at night.  I can't say how long it will last but I'm hoping it",0,0,0,0,0,593,115,107–373 Wörter,3
11132,Electronics_5,5.0,OR,"This is the best bluetooth keyboard I have ever used. I have one for an ipad mini and it is very durable and works very well. I have no problem with it connecting to my ipad. I don't have to worry about dropping it, (I dropped it a few weeks ago and the case I had on it protected it, but the case broke) that's why I decided to get a more durable case and had always wished I could type like a lap top. It does add some weight to the ipad, but it is worth the weigh for the protection and usage. I love it and would recommend it to anyone.",0,0,0,0,0,540,113,107–373 Wörter,3
26900,Kindle_Store_5,5.0,CG,"I'm so happy that Camryn has finally come to terms with her past and is now a full time woman. I know I am, but I am still a complete mess. I can't even begin to describe how much I loved her. Camryn is one of my favorite characters in the entire series. I have read the entire series, and I have not lost a single one of them. I can't wait to read the next installment.I enjoyed this book.",0,0,0,0,0,390,80,53–106 Wörter,3
18447,Tools_and_Home_Improvement_5,4.0,CG,It's great (borderline essential) to have an easy way to make sure your work is done properly.  It is so easy to open the door and it is easy to figure out what you are doing.  I have been in the field for years and have learned how to operate the door.  I have used it with a portable ladder and a cordless workhorse.  It has all the tools needed for a very small,0,0,0,0,0,364,74,53–106 Wörter,3
10711,Electronics_5,3.0,CG,"My wireless connection drops from about 20 feet to about 15 feet.  This is a major issue.  If you are trying to run a wireless network through a wall, you should go to the router and look at the Bluetooth device.  Otherwise, if you are using the device for the web browsing, it's a huge issue.  If you have a router that is really capable of handling",0,0,0,0,0,350,67,53–106 Wörter,3
31040,Books_5,2.0,CG,"Patterson has marketed his name and his books as a ""dramatic, riveting, and deeply moving read,"" but the reader must also remember that the illustrations are not always as clear as they seem.  It's a shame that this one was not made into a movie.  In fact, if you have read the book, you can be sure that",0,0,0,0,0,304,58,53–106 Wörter,3
22102,Pet_Supplies_5,5.0,OR,"This is a very good food.  Looking at the Dog Food Advisor website, it is ranked as a 5 star food.  The only problem I had was that it made my puppy a little gassy, but he is prone to tummy problems anyway,per my vet.  I am currently using the wellness core conned puppy food.",0,0,0,0,0,276,55,53–106 Wörter,3
26275,Kindle_Store_5,5.0,CG,"Here we are again with the second part of the series.

The story starts with the hero (as we know him) returning to the small town of Bear Lake after his wife's death.  He is in the process of applying for a job with the local bakery.  He is a man who has lost his",0,0,0,0,0,264,55,53–106 Wörter,3
26471,Kindle_Store_5,5.0,CG,Kennedy was obsessed with Chopra and his family. His father was a cowboy who had a strong interest in Chopra. Chopra's grandfather was a social worker who worked in a local newspaper. Chopra had no idea that Chopra was a hockey player. Chopra was shocked when Chopra's father found out about Chopra's birth.,0,0,0,0,0,307,53,53–106 Wörter,3
39157,Clothing_Shoes_and_Jewelry_5,5.0,OR,So Im 5'7 175lbs and I bought this jacket in a large. I absolutely love it just fit a little too small for me. I have long arms and a long torso. Im keeping the jacket but switching to a bigger size. The style is so cute and I love the hood.,0,0,0,0,0,241,52,31–52 Wörter,3
26065,Kindle_Store_5,5.0,CG,"as I was reading I was caught up in the story.

The story starts out with Liam and Sofia finding each other, both with their own personal agendas. They fall in love with each other and are in love with each other for some time. After some time they have a",0,0,0,0,0,255,51,31–52 Wörter,3
30760,Books_5,5.0,CG,"""The Shambling Guide To New York City"" by John Grisham.

The Shambling Guide To New York City is the most comprehensive and comprehensive book ever written on the subject of urban planning. It covers the most comprehensive and comprehensive of urban planning principles and is the foundation of the",0,0,0,0,0,298,49,31–52 Wörter,3
35034,Toys_and_Games_5,4.0,OR,"I bought this for my 6 month old twins (Boy & Girl) They mainly chew on it. It keeps them entertained for a few minutes. It is more entertaining if an adults uses it to interact with the baby.

The quality is great. It will last a long time.",0,0,0,0,0,241,49,31–52 Wörter,3
22218,Pet_Supplies_5,5.0,CG,"I put these on my dog and he started to bark.  I tried to keep him from jumping on them but the leash broke, so I bought the Tuck-a-Tuck.  I still use them on my dog, but I don't see any problem with them.  They work great with",0,0,0,0,0,227,48,31–52 Wörter,3
30542,Books_5,5.0,OR,This book was a lot of fun to read. The story line was compelling and his writing style makes this an easy read.  I had a hard time putting it down.  This was my first Greg Iles book and I am now looking forward to reading many more,0,0,0,0,0,232,48,31–52 Wörter,3
26700,Kindle_Store_5,5.0,CG,"In The Liar and Other Stories by T. J. Tootree

The Liar and Other Stories by T. J. Tootree

The Liar and Other Stories by T. J. Tootree

The Liar and Other Stories by T. J. Tootree

The Liar and Other Stories by T. J.",0,0,0,0,0,218,45,31–52 Wörter,3
34937,Toys_and_Games_5,5.0,OR,"This car is awesome! My son loves it and drives it all over the front room, he has crashed it a couple times and the only thing that has happened is a little paint scuff, the body still intact and everything! We love this car",0,0,0,0,0,225,45,31–52 Wörter,3
34944,Toys_and_Games_5,5.0,OR,"I bought this for my sons 15th birthday. He loves it and has a lot of fun. It flies VERY high for a toy and the camera is awesome. You download the app and use as the control screen. Very easy to lose, its white.",0,0,0,0,0,212,45,31–52 Wörter,3
22003,Pet_Supplies_5,5.0,CG,"The cats love this. I'm not sure if the cats are too keen on this, but I'm sure they are. The cats will eat it, but if you don't have a cat that likes to chew on things, I would suggest it.",0,0,0,0,0,189,42,31–52 Wörter,3
21909,Pet_Supplies_5,5.0,CG,Adorable and perfect.  Its perfect for my pup to lie down in and play with.  She doesn't move at all and I don't have to worry about her pulling.  This is a great toy and she loves it.I was skeptical about,0,0,0,0,0,205,41,31–52 Wörter,3
25364,Kindle_Store_5,5.0,OR,"I like the plot, I enjoyed the book. The characters are likable and I understood why the female lead acted the way she did because of past hurts. The books was a good length and the ending was satisfying.",0,0,0,0,0,204,39,31–52 Wörter,3
25944,Kindle_Store_5,5.0,CG,"Levi and Nika! Need I say more?

I loved Nika and her character. She was a strong, confident, loving, compassionate and caring person. She had a strong heart and it was obvious she was in love with Nika.",0,0,0,0,0,203,38,31–52 Wörter,3
5800,Sports_and_Outdoors_5,5.0,OR,This is a Beautiful little knife. The fit and finish is great and it is so small you forget your carrying it. Love this blade. It is a shame they discontinued this chairman series.,0,0,0,0,0,180,34,31–52 Wörter,3
13473,Movies_and_TV_5,4.0,CG,"Nice lead up to a weekend of professional wrestling, which included a lot of actual wrestling action, we get a peek into the minds of the wrestlers themselves as they try to take",0,0,0,0,0,178,33,31–52 Wörter,3
25281,Kindle_Store_5,5.0,CG,"Even though not having the time to read the first part of the series, I was excited to read the second part. The second part was also fantastic!

This is a great story",0,0,0,0,0,167,33,31–52 Wörter,3
34495,Toys_and_Games_5,5.0,OR,"I bought these for my son and he loves them. If they have one downside, it is the fact that the cardboard coukld be a little thicker to add strength to the product.",0,0,0,0,0,164,33,31–52 Wörter,3
21114,Pet_Supplies_5,5.0,OR,This is a really good brush. I like the way it retracts and the hair just wipes off of it. I have a Golden Retriever that sheds a lot. It works great.,0,0,0,0,0,150,32,31–52 Wörter,3
21683,Pet_Supplies_5,5.0,CG,"My dogs love these chews.  They are the best.  My dogs love them too!  They are so soft and absorbant, and they're the perfect size for a dog that's prone to biting. ",0,0,0,0,0,166,32,31–52 Wörter,3
5952,Sports_and_Outdoors_5,5.0,CG,"These bands are amazing. My son has them on and off for a lot of practice. He has been using them for the past month, and they're still holding up.",0,0,0,0,0,147,30,20–30 Wörter,3
9666,Electronics_5,5.0,CG,Great camera backpack. I wanted something to carry with me in the car or my bag. I just wanted a pair of ear buds. The Bose is the perfect fit.,0,0,0,0,0,143,30,20–30 Wörter,3
29945,Books_5,5.0,OR,"I have read the the previous books, love the characters and the plots.  I know I won't be disappointed.  Very good author.  It arrived today, Mothers Day, perfect.  Definately recommend.",0,0,0,0,0,186,30,20–30 Wörter,3
5726,Sports_and_Outdoors_5,5.0,CG,"This skull cap did what it was designed to do. It did not make my head itch, but it did not make my skin look like it was chapped.",0,0,0,0,0,130,29,20–30 Wörter,3
13436,Movies_and_TV_5,5.0,CG,This is the 4th or 5th season of the Sherlock Holmes series.  The series ran from 1963 to 1966.  The first season aired in the UK and Canada,0,0,0,0,0,140,28,20–30 Wörter,3
24736,Kindle_Store_5,5.0,OR,Loved the story and characters. It will keep you entertained and interested in it until the end. The romance and sex is outstanding and the setting is great.,0,0,0,0,0,157,28,20–30 Wörter,3
34407,Toys_and_Games_5,5.0,CG,This floating chip golf island is an amazing design and fun for all ages!  I would recommend this for any summer game!  The floating chip is the perfect,0,0,0,0,0,152,28,20–30 Wörter,3
9198,Electronics_5,5.0,OR,"It works really great as it is a replacement for an old Walkman. My wife loves and it sounds amazingly good. the radio is pretty good, too.",0,0,0,0,0,139,27,20–30 Wörter,3
38776,Clothing_Shoes_and_Jewelry_5,5.0,CG,"I WISH THEY CARRIED LARGER AND USED THEM FOR EVERYONE TO GIVE TO ME!  I'm so happy I did.  I also get the shoulders of the pants,",0,0,0,0,0,129,27,20–30 Wörter,3
24893,Kindle_Store_5,5.0,CG,I wanted to start selling this book and I couldn't wait to start my journey. I'm glad I did.  The book is a good start to,0,0,0,0,0,121,26,20–30 Wörter,3
29643,Books_5,5.0,CG,Very inspiring. I work at a financial firm and have never heard of anyone who did not enjoy the book.  I had to read it before,0,0,0,0,0,126,26,20–30 Wörter,3
9442,Electronics_5,5.0,CG,Good HDMI cables to hook up to the TV and you can't go wrong with this!  The cables are sturdy and the fit is solid.,0,0,0,0,0,116,25,20–30 Wörter,3
13286,Movies_and_TV_5,4.0,CG,i grew up with guys that were suave and funny.  I also enjoyed the way he acted.  I had to watch a few episodes to,0,0,0,0,0,114,25,20–30 Wörter,3
20693,Pet_Supplies_5,5.0,OR,"My Aussie loves crates, and especially this one. It is well made, large, and easy to clean. He has the best room in the house!",0,0,0,0,0,126,25,20–30 Wörter,3
13276,Movies_and_TV_5,1.0,CG,Pleeeaaase stop sending those irritating little ones the message that you're either a bigot or a person who doesn't care about the people you,0,0,0,0,0,141,24,20–30 Wörter,3
24396,Kindle_Store_5,4.0,OR,I really enjoyed reading this book and can't wait to read the rest of the series. I loved the characters and the story line.,0,0,0,0,0,124,24,20–30 Wörter,3
8961,Electronics_5,5.0,OR,I've been using these for a few weeks now and I have had no problems. The build quality is very good on these.,0,0,0,0,0,110,23,20–30 Wörter,3
13121,Movies_and_TV_5,4.0,CG,"Good movie if you like old movies and movies about magic.  Also, if you like old movies and movies about the occult, then",0,0,0,0,0,121,23,20–30 Wörter,3
